date,ARIMA,UCM,ML
2015-04-01,30.39413973566993,33.33886299822938,34.619740940102574
2015-04-02,30.785685621224104,28.849665425007714,29.874607513609647
2015-04-03,31.28998748106537,28.738515760574533,20.290293063530314
2015-04-04,8.397663022788702,8.37426568509381,9.546409405932437
2015-04-05,8.648062136737401,2.439202819997471,2.6940725110719725
2015-04-06,29.51438363650856,10.765469134775197,28.918628830209865
2015-04-07,31.52368728663277,26.436938708963368,33.651848804050445
2015-04-08,30.40801880328163,31.448618414142803,34.619740940102574
2015-04-09,30.79641711413316,29.200145321210808,29.874607513609647
2015-04-10,31.296612892254032,31.05134433195421,20.290293063530314
2015-04-11,8.502686065820013,9.685921111874302,9.546409405932437
2015-04-12,8.753592220839778,2.9641345796789498,2.6940725110719725
2015-04-13,29.535203063054258,12.372371063582218,28.918628830209865
2015-04-14,31.5283902834054,28.800031193080383,33.651848804050445
2015-04-15,30.421786910246688,32.75646839751091,34.619740940102574
2015-04-16,30.80706183755939,29.312104569913625,29.874607513609647
2015-04-17,31.303183972749416,30.485900717288622,20.290293063530314
2015-04-18,8.6079295641986,9.420607401466837,9.546409405932437
2015-04-19,8.859317043991668,2.9001770010458063,2.6940725110719725
2015-04-20,29.55586038833505,12.333466631204308,28.918628830209865
2015-04-21,31.53305446704565,28.97822217875847,33.651848804050445
2015-04-22,30.435444899103775,32.96511233737554,34.619740940102574
2015-04-23,30.81762046682138,29.273695135016222,29.874607513609647
2015-04-24,31.30970115826098,30.130984272802902,20.290293063530314
2015-04-25,8.713382668196934,9.228107823213195,9.546409405932437
2015-04-26,8.965225925740528,2.8504606313007446,2.6940725110719725
2015-04-27,29.576356770719716,12.403577764432637,28.918628830209865
2015-04-28,31.537680152966185,29.840770191252236,33.651848804050445
2015-04-29,30.448993606745006,34.661473769997876,34.619740940102574
2015-04-30,30.828093672423154,31.06725567180089,29.874607513609647
2015-05-01,31.316164881168493,31.558900135325437,19.979818111823754
2015-05-02,8.819034597604967,9.345260593864891,9.262507581500039
2015-05-03,9.07130826049649,2.685797761929742,2.3283708664054146
2015-05-04,29.59669336205918,11.09543870226691,27.105518828675443
2015-05-05,31.542267654098683,25.928989778933154,32.29224232446774
2015-05-06,30.46243386444082,29.752521553747027,33.734928995025705
2015-05-07,30.83848212008075,27.0937755484304,29.363893037188113
